74,86,56,48
81,83,62,53
75,87,60,52
75,78,58,50
79,76,60,51
76,77,57,49
81,77,54,47
82,77,51,44
82,78,50,43
82,78,49,42
61,93,43,37
70,81,53,45
75,83,51,44
68,87,53,46
67,88,54,46
69,89,50,43
68,86,48,41
62,86,49,42
65,88,41,35
63,88,41,35
74,101,44,38
79,115,44,37
62,122,47,40
51,105,57,49
64,92,51,44
59,93,49,42
60,86,55,47
68,91,46,40
75,91,40,34
85,99,37,32
87,100,34,29
84,100,35,30
74,99,37,32
75,102,40,34
72,98,45,38
80,102,44,37
70,101,47,41
68,103,50,43
67,100,49,42
74,107,43,37
70,107,48,41
67,100,39,34
61,93,43,37
53,116,44,38
57,120,41,35
59,122,44,37
62,125,42,36
66,114,39,34
65,118,36,31
67,122,34,29
75,125,31,27
88,117,34,29
79,118,36,31
83,118,35,30
79,114,35,30
82,99,41,35
87,100,38,32
86,101,36,31
92,113,39,34
99,97,47,40
106,98,50,43
92,102,52,44
108,98,42,36
111,119,42,36
100,128,41,35
97,125,40,34
102,117,28,24
104,117,29,25
106,126,29,25
110,126,28,24
111,118,28,24
113,121,28,24
116,123,30,25
117,115,36,31
113,106,41,35
120,116,35,30
136,108,34,29
131,103,33,29
131,103,33,28
131,107,38,33
132,103,39,33
135,111,37,32
138,125,32,28
139,124,33,29
140,119,39,33
140,118,41,35
154,111,36,31
152,99,39,33
155,98,36,31
163,101,33,29
161,100,37,32
160,98,39,33
165,98,35,30
165,97,32,27
166,97,36,31
168,97,36,31
177,96,32,27
174,101,40,34
173,112,43,37
184,114,47,40
187,114,43,37
191,114,46,40
192,115,49,42
188,115,55,47
193,114,58,50
196,112,58,50
210,119,51,44
198,110,54,46
210,118,54,47
206,113,59,50
222,113,58,50
223,113,55,47
222,114,56,48
230,119,54,47
238,118,51,44
239,116,54,46
244,111,54,47
245,118,52,45
237,117,54,46
252,129,52,45
248,115,52,45
247,117,53,46
238,116,60,52
243,122,53,46
245,124,43,37
248,123,47,40
255,125,49,42
