153,105,26,43
149,96,28,45
150,92,27,45
154,85,30,49
153,79,29,48
153,81,28,45
153,67,30,50
152,68,31,50
147,66,31,51
143,68,31,51
137,69,31,51
135,65,30,50
128,70,29,48
120,69,31,51
113,70,35,57
113,68,31,52
122,79,24,39
129,73,25,42
126,73,23,37
121,68,24,39
109,69,25,41
102,66,26,43
102,60,26,42
96,50,32,53
84,43,30,50
81,56,27,44
80,52,27,44
80,54,28,45
83,55,29,47
88,56,29,48
90,53,31,52
94,55,35,57
99,71,27,45
100,73,29,48
103,77,29,48
107,78,32,52
113,83,30,49
117,89,30,49
128,89,32,52
132,84,29,48
140,82,26,42
144,71,27,45
146,65,30,49
149,61,30,49
152,56,33,54
151,55,31,52
156,56,34,56
161,59,30,49
164,55,32,53
164,52,33,54
167,50,34,55
169,51,32,53
180,59,30,49
182,58,32,52
186,59,35,57
198,58,37,61
200,67,37,60
204,66,38,63
217,64,46,75
228,75,45,74
233,76,49,81
237,91,55,91
239,87,57,94
242,100,56,92
247,98,56,92
254,95,54,88
259,93,58,95
264,91,61,100
266,88,63,105
268,88,62,102
264,90,75,123
258,106,65,106
239,121,65,107
223,127,61,100
